id,name,country_id:id,state_id:id,county_id:id
gt_zone_1,Zona 1,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_2,Zona 2,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_3,Zona 3,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_4,Zona 4,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_5,Zona 5,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_6,Zona 6,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_7,Zona 7,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_8,Zona 8,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_9,Zona 9,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_10,Zona 10,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_11,Zona 11,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_4
gt_zone_12,Zona 1,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_13,Zona 2,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_14,Zona 3,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_15,Zona 4,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_16,Zona 5,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_17,Zona 6,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_18,Zona 7,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_19,Zona 8,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_20,Zona 9,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_21,Zona 10,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_22,Zona 11,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_2
gt_zone_23,Zona 1,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_24,Zona 2,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_25,Zona 3,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_26,Zona 4,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_27,Zona 5,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_28,Zona 6,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_29,Zona 7,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_30,Zona 8,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_31,Zona 9,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_32,Zona 10,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_33,Zona 11,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_8
gt_zone_34,Zona 1,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_35,Zona 2,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_36,Zona 3,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_37,Zona 4,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_38,Zona 5,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_39,Zona 6,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_40,Zona 7,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_41,Zona 8,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_42,Zona 9,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_43,Zona 10,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_44,Zona 11,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_9
gt_zone_45,Zona 1,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_3
gt_zone_46,Zona 2,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_3
gt_zone_47,Zona 3,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_3
gt_zone_48,Zona 4,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_3
gt_zone_49,Zona 5,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_3
gt_zone_50,Zona 6,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_3
gt_zone_51,Zona 7,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_3
gt_zone_52,Zona 8,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_3
gt_zone_53,Zona 9,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_3
