id,name,code,account_type,reconcile
cta_gt_11010101,CAJA GENERAL,11010101,asset_cash,False
cta_gt_11010102,CAJA CHICA,11010102,asset_cash,False
cta_gt_11010103,CAJA CHICA COMPRAS,11010103,asset_cash,False
cta_gt_11010104,CAJA CHICA  EN TRANSITO,11010104,asset_cash,False
cta_gt_11010201,BANCO 1,11010201,asset_cash,False
cta_gt_1101020101,BANCO 1 INGRESOS PENDIENTES,1101020101,asset_current,True
cta_gt_1101020102,BANCO 1 EGRESOS PENDIENTES,1101020102,asset_current,True
cta_gt_11010202,BANCO 2,11010202,asset_cash,False
cta_gt_1101020201,BANCO 2 INGRESOS PENDIENTES,1101020201,asset_current,True
cta_gt_1101020202,BANCO 2 EGRESOS PENDIENTES,1101020202,asset_current,True
cta_gt_11010203,DIFERENCIAL CAMBIARIO,11010203,asset_cash,False
cta_gt_11010204,DIFERENCIAL CAMBIARIO (GASTO),11010204,asset_cash,False
cta_gt_11010301,TRANSFERENCIA INTERNA,11010301,asset_current,True
cta_gt_11010302,TRANSFERENCIA,11010302,asset_current,True
cta_gt_110201,CLIENTES,110201,asset_receivable,True
cta_gt_110202,CXC VISANET,110202,asset_cash,False
cta_gt_110203,CXC CREDOMATIC,110203,asset_cash,False
cta_gt_110204,RESERVA PARA CUENTAS INCOBRABLES,110204,asset_receivable,True
cta_gt_110205,OTRAS CUENTAS POR COBRAR,110205,asset_receivable,True
cta_gt_110206,CUENTA POR COBRAR EMPLEADOS,110206,asset_receivable,True
cta_gt_110207,CHEQUES RECHAZADOS,110207,asset_current,False
cta_gt_110208,ANTICIPOS SUELDOS,110208,asset_current,False
cta_gt_110209,CAJA POR LIQUIDAR POS,110209,asset_current,False
cta_gt_110210,EMPLEADOS,110210,asset_current,False
cta_gt_110301,IVA POR COBRAR,110301,asset_current,False
cta_gt_110302,RETENCIONES DE IVA,110302,asset_current,False
cta_gt_110303,EXENCIONES DE IVA,110303,asset_current,False
cta_gt_110304,ISR RETENIDO,110304,asset_current,False
cta_gt_110305,ISR POR ACREDITAR ASALARIADOS,110305,asset_current,False
cta_gt_110306,ISR ASALARIADOS,110306,asset_current,False
cta_gt_110307,ISO TRIMESTRAL,110307,asset_current,False
cta_gt_110401,CATEGORIA 1,110401,asset_current,False
cta_gt_110402,CATEGORIA 2,110402,asset_current,False
cta_gt_110499,INVENTARIOS EN TRANSITO,110499,asset_current,False
cta_gt_120101,MOBILIARIO Y EQUIPO,120101,asset_fixed,False
cta_gt_120102,DEP. ACUM. MOB. Y EQUIPO,120102,asset_non_current,False
cta_gt_120103,EQUIPO DE COMPUTACION,120103,asset_fixed,False
cta_gt_120104,DEP. ACUM. EQ. DE COMPUTACION,120104,asset_non_current,False
cta_gt_130101,ANTICIPOS GENERALES,130101,asset_prepayments,False
cta_gt_130102,DEPOSITOS EN GARANTIA,130102,asset_non_current,False
cta_gt_210101,PROVEEDORES,210101,liability_payable,True
cta_gt_210102,PROVEEEDORES LOCALES,210102,liability_payable,True
cta_gt_210103,ANTICIPOS DE CLIENTES,210103,liability_current,False
cta_gt_210104,SUELDOS POR PAGAR,210104,liability_current,False
cta_gt_210105,BONO 14 POR PAGAR,210105,liability_current,False
cta_gt_210106,AGUINALDO POR PAGAR,210106,liability_current,False
cta_gt_210107,VACACIONES POR PAGAR,210107,liability_current,False
cta_gt_210108,INDEMINIZACION POR PAGAR,210108,liability_current,False
cta_gt_210109,OTRAS CUENTAS POR PAGAR,210109,liability_current,False
cta_gt_210110,CUENTAS POR PAGAR SOCIOS,210110,liability_current,False
cta_gt_210201,PRÉSTAMOS BANCARIOS,210201,liability_current,False
cta_gt_210301,IVA POR PAGAR,210301,liability_current,False
cta_gt_210302,ISR POR PAGAR,210302,liability_current,False
cta_gt_210303,ISO POR PAGAR,210303,liability_current,False
cta_gt_210304,IUSI POR PAGAR,210304,liability_current,False
cta_gt_210305,IGSS POR PAGAR,210305,liability_current,False
cta_gt_210306,ISR ANUAL POR PAGAR,210306,liability_current,False
cta_gt_210307,ISR PAGO DIRECTO,210307,liability_current,False
cta_gt_210308,IVA RETENCIONES POR PAGAR,210308,liability_current,False
cta_gt_210309,IVA RETENCIONES 5% PEQUEÑO CONTRIBUYENTE,210309,liability_current,False
