"id","name","tax_ids/tax_src_id","tax_ids/tax_dest_id","country_id"
"fiscal_position_template_retenedor_iva15","Agente Retenedor de IVA 15%","impuestos_plantilla_iva_por_pagar","impuestos_plantilla_iva_retenido_15","base.gt"
"fiscal_position_template_exento","Exento","impuestos_plantilla_iva_por_cobrar",""
"","","impuestos_plantilla_iva_por_pagar","","base.gt"
"fiscal_position_template_factura_especial","Factura Especial","impuestos_plantilla_iva_por_cobrar","","base.gt"
"fiscal_position_template_trimestral","Sujeto a Pagos Trimestrales","","","base.gt"
"fiscal_position_template_retencion_definitiva","Sujeto a Retención Definitiva","","","base.gt"
"fiscal_position_template_peq_contribuyente","Pequeño Contribuyente","impuestos_plantilla_iva_por_cobrar","","base.gt"
"fiscal_position_template_exterior","Exterior","impuestos_plantilla_iva_por_cobrar",""
"","","impuestos_plantilla_iva_por_pagar","","base.gt"
"fiscal_position_template_actividades_lucrativas","Rentas de Actividades Lucrativas","","","base.gt"
"fiscal_position_template_ley_maquila","Ley de Maquila","","","base.gt"
